Date,AMZN_P,BABA_P,WMT_P,AAPL_P,JD_P,AMZN_V,BABA_V,WMT_V,AAPL_V,JD_V
2021-01-25,3294,261.3800049,144.4908905,142.2516327,98.37999725,3749800,19478600,6343700,157611700,16409700
2021-01-26,3326.129883,265.9200134,145.7855682,142.4905243,96.97000122,2955200,14681200,5010500,98390600,8246700
2021-01-27,3232.580078,260.25,142.1584778,141.3956604,90.08999634,4660200,16050400,9970100,140843800,16058200
2021-01-28,3237.620117,260.7600098,142.0695343,136.4488831,91.41000366,3149200,10244900,7433900,142621100,11254400
2021-01-29,3206.199951,253.8300018,138.8476563,131.3428802,88.69000244,4293600,14693000,10836400,177523800,10855300
2021-02-01,3342.879883,264.6900024,137.6419067,133.5126953,91.26999664,4160200,15289300,8648400,106239800,7452700
2021-02-02,3380,254.5,139.1243744,134.3587189,95.41999817,7098600,30534300,9000800,83305400,11522400
2021-02-03,3312.530029,263.4299927,139.5493317,133.3136292,95.5,7088800,29179700,4988900,89880900,7328200
2021-02-04,3331,266.9599915,140.8638,136.7474976,94.62999725,3670700,16763000,5782100,84183100,5336200
2021-02-05,3352.149902,265.6700134,142.6723938,136.3238525,96.63999939,3620800,11018700,6817200,75693800,5821800
2021-02-08,3322.939941,262.5899963,143.3345642,136.4733734,94.56999969,3257400,10721100,5275100,71297200,5681600
2021-02-09,3305,266.4899902,144.1252289,135.5762329,97.06999969,2203500,12432800,5302300,76774200,5790400
2021-02-10,3286.580078,267.7900085,142.4450836,134.9582214,98.76999664,3151600,13090800,6192300,73046600,8629400
2021-02-11,3262.129883,268.9299927,142.33638,134.6990509,99,2301400,15295800,4263800,64280000,4461600
2021-02-12,3277.709961,267.8500061,142.7811127,134.9382782,99.30999756,2335300,9355100,4474500,60145100,3233900
2021-02-16,3268.949951,270.7000122,143.9572144,132.7652435,103.4300003,2574700,16708700,9297000,80576300,10809000
